I,GEN,LogL,RateVector,State,N,F,Total
60,6000,-331.797,Functional,F,12,31,43
61,6100,-419.812,Non-functional,N,28,6,34
61,6100,-419.812,Functional,F,8,44,52
62,6200,-420.194,Non-functional,N,28,6,34
62,6200,-420.194,Functional,F,8,44,52
63,6300,-420.325,Non-functional,N,28,6,34
63,6300,-420.325,Functional,F,8,44,52
64,6400,-420.205,Non-functional,N,28,6,34
64,6400,-420.205,Functional,F,8,44,52
65,6500,-420.578,Non-functional,N,28,6,34
65,6500,-420.578,Functional,F,8,44,52
66,6600,-416.725,Non-functional,N,22,6,28
66,6600,-416.725,Functional,F,8,43,51
67,6700,-417.185,Non-functional,N,22,6,28
67,6700,-417.185,Functional,F,8,43,51
68,6800,-416.211,Non-functional,N,22,6,28
68,6800,-416.211,Functional,F,8,43,51
69,6900,-417.403,Non-functional,N,22,6,28
69,6900,-417.403,Functional,F,8,43,51
70,7000,-416.413,Non-functional,N,22,6,28
70,7000,-416.413,Functional,F,8,43,51
71,7100,-385.292,Non-functional,N,20,6,26
71,7100,-385.292,Functional,F,8,42,50
72,7200,-386.166,Non-functional,N,20,6,26
72,7200,-386.166,Functional,F,8,42,50
73,7300,-385.802,Non-functional,N,20,6,26
73,7300,-385.802,Functional,F,8,42,50
74,7400,-384.654,Non-functional,N,20,6,26
74,7400,-384.654,Functional,F,8,42,50
75,7500,-385.367,Non-functional,N,20,6,26
75,7500,-385.367,Functional,F,8,42,50
76,7600,-428.84,Non-functional,N,25,7,32
76,7600,-428.84,Functional,F,7,37,44
77,7700,-428.382,Non-functional,N,25,7,32
77,7700,-428.382,Functional,F,7,37,44
78,7800,-426.504,Non-functional,N,25,7,32
78,7800,-426.504,Functional,F,7,37,44
79,7900,-426.645,Non-functional,N,25,7,32
79,7900,-426.645,Functional,F,7,37,44
80,8000,-426.653,Non-functional,N,25,7,32
80,8000,-426.653,Functional,F,7,37,44
81,8100,-363.539,Non-functional,N,22,4,26
81,8100,-363.539,Functional,F,10,41,51
82,8200,-364.995,Non-functional,N,22,4,26
82,8200,-364.995,Functional,F,10,41,51
83,8300,-364.547,Non-functional,N,22,4,26
83,8300,-364.547,Functional,F,10,41,51
84,8400,-363.454,Non-functional,N,22,4,26
84,8400,-363.454,Functional,F,10,41,51
85,8500,-363.157,Non-functional,N,22,4,26
85,8500,-363.157,Functional,F,10,41,51
86,8600,-448.707,Non-functional,N,17,5,22
86,8600,-448.707,Functional,F,10,43,53
87,8700,-448.188,Non-functional,N,17,5,22
87,8700,-448.188,Functional,F,10,43,53
88,8800,-448.276,Non-functional,N,17,5,22
88,8800,-448.276,Functional,F,10,43,53
89,8900,-447.843,Non-functional,N,17,5,22
89,8900,-447.843,Functional,F,10,43,53
90,9000,-447.673,Non-functional,N,17,5,22
90,9000,-447.673,Functional,F,10,43,53
91,9100,-399.322,Non-functional,N,17,5,22
91,9100,-399.322,Functional,F,12,34,46
92,9200,-400.052,Non-functional,N,17,5,22
92,9200,-400.052,Functional,F,12,34,46
93,9300,-399.691,Non-functional,N,17,5,22
93,9300,-399.691,Functional,F,12,34,46
94,9400,-400.488,Non-functional,N,17,5,22
94,9400,-400.488,Functional,F,12,34,46
95,9500,-401.524,Non-functional,N,17,5,22
95,9500,-401.524,Functional,F,12,34,46
96,9600,-397.192,Non-functional,N,19,0,19
96,9600,-397.192,Functional,F,14,48,62
97,9700,-397.564,Non-functional,N,19,0,19
97,9700,-397.564,Functional,F,14,48,62
98,9800,-398.757,Non-functional,N,19,0,19
98,9800,-398.757,Functional,F,14,48,62
99,9900,-398.205,Non-functional,N,19,0,19
99,9900,-398.205,Functional,F,14,48,62
100,10000,-397.658,Non-functional,N,19,0,19
100,10000,-397.658,Functional,F,14,48,62
101,10100,-428.945,Non-functional,N,17,0,17
101,10100,-428.945,Functional,F,14,52,66
102,10200,-427.959,Non-functional,N,17,0,17
102,10200,-427.959,Functional,F,14,52,66
103,10300,-427.259,Non-functional,N,17,0,17
103,10300,-427.259,Functional,F,14,52,66
104,10400,-427.335,Non-functional,N,17,0,17
104,10400,-427.335,Functional,F,14,52,66
105,10500,-428.304,Non-functional,N,17,0,17
105,10500,-428.304,Functional,F,14,52,66
106,10600,-333.041,Non-functional,N,13,0,13
106,10600,-333.041,Functional,F,14,37,51
107,10700,-333.3,Non-functional,N,13,0,13
107,10700,-333.3,Functional,F,14,37,51
108,10800,-333.473,Non-functional,N,13,0,13
108,10800,-333.473,Functional,F,14,37,51
109,10900,-332.687,Non-functional,N,13,0,13
109,10900,-332.687,Functional,F,14,37,51
110,11000,-332.571,Non-functional,N,13,0,13
110,11000,-332.571,Functional,F,14,37,51
111,11100,-384.604,Non-functional,N,19,0,19
