I,GEN,LogL,N_freq,F_freq,fixed_one,NN,NtoF,FtoN,FF,U
62,6200,-20.808400,0.037340,0.099401,0.010000,0.452660,0.047340,0.109401,0.390599,0.500000
63,6300,-20.611133,0.024183,0.079655,0.010000,0.465817,0.034183,0.089655,0.410345,0.500000
64,6400,-20.614236,0.054201,0.079973,0.010000,0.435799,0.064201,0.089973,0.410027,0.500000
65,6500,-20.327875,0.039906,0.049543,0.010000,0.450094,0.049906,0.059543,0.440457,0.500000
66,6600,-23.387178,0.043649,0.031865,0.010000,0.446351,0.053649,0.041865,0.458135,0.500000
67,6700,-23.877114,0.042271,0.074627,0.010000,0.447729,0.052271,0.084627,0.415373,0.500000
68,6800,-23.810216,0.012883,0.069032,0.010000,0.477117,0.022883,0.079032,0.420968,0.500000
69,6900,-23.709423,0.015570,0.060460,0.010000,0.474430,0.025570,0.070460,0.429540,0.500000
70,7000,-24.488605,0.014567,0.122443,0.010000,0.475433,0.024567,0.132443,0.367557,0.500000
71,7100,-12.861630,0.028433,0.116095,0.010000,0.461567,0.038433,0.126095,0.373905,0.500000
72,7200,-12.843620,0.033139,0.112713,0.010000,0.456861,0.043139,0.122713,0.377287,0.500000
73,7300,-12.909087,0.055098,0.124863,0.010000,0.434902,0.065098,0.134863,0.365137,0.500000
74,7400,-12.861233,0.047304,0.116021,0.010000,0.442696,0.057304,0.126021,0.373979,0.500000
75,7500,-12.884650,0.053831,0.120374,0.010000,0.436169,0.063831,0.130374,0.369626,0.500000
76,7600,-12.736476,0.100539,0.110474,0.010000,0.389461,0.110539,0.120474,0.379526,0.500000
77,7700,-12.697359,0.092136,0.102978,0.010000,0.397864,0.102136,0.112978,0.387022,0.500000
78,7800,-12.580380,0.113638,0.079666,0.010000,0.376362,0.123638,0.089666,0.410334,0.500000
79,7900,-12.520638,0.095824,0.067224,0.010000,0.394176,0.105824,0.077224,0.422776,0.500000
80,8000,-12.610740,0.057355,0.085848,0.010000,0.432645,0.067355,0.095848,0.404152,0.500000
81,8100,-16.460739,0.034505,0.130804,0.010000,0.455495,0.044505,0.140804,0.359196,0.500000
82,8200,-16.513204,0.029651,0.137031,0.010000,0.460349,0.039651,0.147031,0.352969,0.500000
83,8300,-16.534324,0.033647,0.139507,0.010000,0.456353,0.043647,0.149507,0.350493,0.500000
84,8400,-16.602497,0.021556,0.147382,0.010000,0.468444,0.031556,0.157382,0.342618,0.500000
85,8500,-16.728406,0.065663,0.161464,0.010000,0.424337,0.075663,0.171464,0.328536,0.500000
86,8600,-31.473359,0.051441,0.135699,0.010000,0.438559,0.061441,0.145699,0.354301,0.500000
87,8700,-30.991928,0.052372,0.110474,0.010000,0.437628,0.062372,0.120474,0.379526,0.500000
88,8800,-30.525917,0.041300,0.084348,0.010000,0.448700,0.051300,0.094348,0.405652,0.500000
89,8900,-30.780874,0.030409,0.098857,0.010000,0.459591,0.040409,0.108857,0.391143,0.500000
90,9000,-30.633330,0.022084,0.090525,0.010000,0.467916,0.032084,0.100525,0.399475,0.500000
91,9100,-24.513350,0.004188,0.127838,0.010000,0.485812,0.014188,0.137838,0.362162,0.500000
92,9200,-24.365649,0.065258,0.116980,0.010000,0.424742,0.075258,0.126980,0.373020,0.500000
