I,GEN,LogL,base-order,base-disorder,order-virtual-A,disorder-virtual-A,order-virtual-R,disorder-virtual-R,order-virtual-N,disorder-virtual-N,order-virtual-D,disorder-virtual-D,order-virtual-C,disorder-virtual-C,order-virtual-E,disorder-virtual-E,order-virtual-Q,disorder-virtual-Q,order-virtual-G,disorder-virtual-G,order-virtual-H,disorder-virtual-H,order-virtual-I,disorder-virtual-I,order-virtual-L,disorder-virtual-L,order-virtual-K,disorder-virtual-K,order-virtual-M,disorder-virtual-M,order-virtual-F,disorder-virtual-F,order-virtual-P,disorder-virtual-P,order-virtual-S,disorder-virtual-S,order-virtual-T,disorder-virtual-T,order-virtual-W,disorder-virtual-W,order-virtual-Y,disorder-virtual-Y,order-virtual-V,disorder-virtual-V,OD-transition,virtual-O,virtual-D,RateVectorassignment,SequenceAlignment-orderVdisorder,SequenceAlignment-primary
0,0,-368877.559859,0.000100,0.000100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.198100,0.001000,0.199000,0.199000,n/a,n/a,n/a
1,100,-288033.882811,0.002814,0.004348,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.146532,0.117396,0.005502,0.194498,0.194498,n/a,n/a,n/a
2,200,-263393.506360,0.005842,0.007131,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.089012,0.064511,0.008739,0.191261,0.191261,n/a,n/a,n/a
3,300,-246316.333960,0.008886,0.009235,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.031158,0.024541,0.011451,0.188549,0.188549,n/a,n/a,n/a
4,400,-238704.393529,0.009388,0.009665,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.021620,0.016367,0.014908,0.185092,0.185092,n/a,n/a,n/a
5,500,-235286.140470,0.009426,0.009670,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.020908,0.016261,0.019642,0.180358,0.180358,n/a,n/a,n/a
